date,total_export,total_import,EXMAUS,RBMYBIS,world_export
2007-09-01,54123978975,42530759776,3.4691,96.27,1194287.52709
2007-10-01,54763008243,45374628800,3.3735,97.35,1310652.041348
2007-11-01,54453930843,43948747030,3.3588,96.57,1329818.560482
2007-12-01,54251713780,44263796596,3.3324,97.76,1236804.696267
2008-01-01,53180806399,43209404432,3.2653,98.69,1292952.420828
2008-02-01,47265650380,37902956153,3.2216,98.78,1281011.708855
2008-03-01,51800899053,43612984629,3.1841,97.45,1389631.217674
2008-04-01,55743052768,43230710388,3.1604,97.62,1459481.698715
2008-05-01,61171154113,45403684956,3.2127,97.04,1445378.629315
2008-06-01,58439018495,45101993279,3.2568,99.28,1487804.924993
2008-07-01,63471705615,48727478539,3.2484,99.63,1580265.695709
2008-08-01,59971938884,46856632099,3.33,99.56,1393069.072109
2008-09-01,62824502592,47400685451,3.4405,97.71,1429288.751131
2008-10-01,52823431047,43708568387,3.5222,98.0,1361036.346084
2008-11-01,51308452347,40211898440,3.5843,97.57,1107209.405707
2008-12-01,45012902913,34437296964,3.5483,96.46,1040224.218525
2009-01-01,37002648486,30070504118,3.5705,95.91,884034.352977
2009-02-01,38456095993,27362322874,3.6345,96.17,854862.977753
2009-03-01,42523581045,30909358931,3.6726,95.55,971687.749403
2009-04-01,41181082433,33715400719,3.6045,95.58,938763.197665
2009-05-01,43100989159,32996217735,3.5218,95.76,945454.173696
2009-06-01,45369425461,35980539906,3.5156,95.16,1036685.765448
2009-07-01,49312749069,40988869787,3.5443,94.05,1085070.715181
2009-08-01,48290955470,38255048665,3.5156,94.03,996662.257205
2009-09-01,47778690853,37959731261,3.4899,93.76,1143973.707715
2009-10-01,54687916585,42803401516,3.4016,95.01,1193058.111599
2009-11-01,50084844633,41115630946,3.3886,94.96,1169712.829604
2009-12-01,54729127467,42512775825,3.4099,94.91,1192367.521631
2010-01-01,52527084826,39445934003,3.375,95.98,1087806.999772
2010-02-01,46641030131,35104863869,3.4139,95.4,1088541.528208
2010-03-01,59433342729,45061534362,3.3205,97.6,1293385.214697
2010-04-01,51896054735,42706858437,3.2044,100.77,1229953.544673
2010-05-01,52289540476,44093839779,3.2509,101.12,1214378.024065
2010-06-01,52785411913,46743711854,3.2633,101.58,1280035.914333
2010-07-01,55329798346,48386135154,3.2035,101.85,1278734.234038
2010-08-01,52795410850,44522912597,3.1516,102.45,1229131.321605
2010-09-01,50321711031,43462698542,3.1032,102.76,1329562.056495
2010-10-01,54903920167,48123330374,3.0991,100.21,1379160.607246
2010-11-01,52637383728,43699771253,3.1131,99.95,1397049.157492
2010-12-01,57261799111,47476593113,3.1283,100.34,1404112.467053
2011-01-01,54683016662,44904001493,3.0595,101.9,1341676.056488
2011-02-01,50073854166,39232560871,3.0453,101.8,1324371.285449
2011-03-01,62478547229,50645016733,3.0341,101.07,1597424.415465
2011-04-01,58315213638,46777824113,3.0101,100.6,1500283.056518
2011-05-01,55354448687,46604122525,3.0127,100.17,1562980.861931
2011-06-01,59050183477,50340683663,3.0269,99.76,1577502.890637
2011-07-01,59656829344,49780890765,2.9924,100.34,1556677.23395
2011-08-01,58622809123,47549200486,2.9824,100.09,1550056.901762
2011-09-01,58695595436,49043309539,3.08,98.67,1583281.940301
2011-10-01,63347032594,48939877454,3.1336,97.78,1531851.889433
2011-11-01,56820840954,47357700898,3.1521,97.74,1550414.885001
2011-12-01,60763566000,52451137812,3.159,98.25,1518029.682416
2012-01-01,55113798764,46299370760,3.1092,99.41,1417677.020537
2012-02-01,56960978238,46281107551,3.022,101.07,1454277.112143
2012-03-01,62004146713,51331419683,3.0444,100.7,1641382.794046
2012-04-01,57876348153,50222817660,3.0586,99.88,1515991.676808
2012-05-01,58930911972,54166561790,3.0978,99.74,1583691.346398
2012-06-01,61059412421,51770512288,3.1783,98.26,1543404.63777
2012-07-01,58051281794,54504239100,3.1653,98.54,1507296.044016
2012-08-01,55668073212,48871576321,3.1153,99.33,1484332.206641
2012-09-01,59942321870,53142734185,3.0758,99.24,1549060.105908
2012-10-01,61229715163,51686300092,3.0526,99.77,1602489.580366
2012-11-01,58316825835,49377602699,3.0585,100.36,1557759.624962
2012-12-01,57487433652,49022707677,3.0535,99.98,1503270.805514
2013-01-01,57080009968,53724592564,3.0298,101.13,1514483.744954
2013-02-01,52493269342,44254804367,3.0961,99.74,1427288.481053
2013-03-01,60049396558,55111512364,3.1074,100.34,1591141.696863
2013-04-01,55836591370,54771255537,3.0492,102.59,1576368.894233
2013-05-01,55656734155,52922490040,3.0188,104.57,1580648.182937
2013-06-01,56648840040,52423218308,3.1433,100.44,1543566.278883
2013-07-01,60629588129,57863972251,3.1916,99.68,1585189.242929
2013-08-01,62795949689,55788771651,3.2769,96.69,1512939.718004
2013-09-01,63283497110,54599253291,3.2871,97.92,1575623.852503
2013-10-01,67193590152,58561683032,3.2075,99.55,1670213.757463
2013-11-01,62408583265,52523550275,3.17,99.83,1607184.515723
2013-12-01,65916348664,56149769627,3.2218,98.89,1568493.098272
2014-01-01,64053466843,57609512916,3.2786,98.05,1554178.585213
2014-02-01,58927613776,48477971118,3.3263,97.59,1426183.137983
2014-03-01,64892878701,55428407399,3.2682,98.49,1625591.706726
